LEA_STATE,LEA_STATE_NAME,LEAID,LEA_NAME,SCHID,SCHOOL_NAME,NCESSCH,DISABILITY_CATEGORY,AM_M_7,AS_M_7,BL_M_7,HI_M_7,MU_M_7,PI_M_7,WH_M_7,AM_F_7,AS_F_7,BL_F_7,HI_F_7,MU_F_7,PI_F_7,WH_F_7,TOTAL_STUDENTS_REPORTED,LEP_M,NLEP_M,LEP_F,NLEP_F,CF_M,HH_M,PPPS_M,RC39_M,RC79TO40_M,RC80_M,RF_M,SS_M,CF_F,HH_F,PPPS_F,RC39_F,RC79TO40_F,RC80_F,RF_F,SS_F
"AL","ALABAMA","0103580","Winston County","01357","Winston County High School","010358001357","ID",0,0,0,0,0,0,1,0,0,0,0,0,0,3,4,0,1,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0
"AL","ALABAMA","0101860","Jacksonville City","00673","Jacksonville High School","010186000673","ID",0,0,1,0,0,0,3,0,0,0,0,0,0,2,6,0,4,0,2,0,0,0,2,2,0,0,0,0,0,0,1,0,1,0,0
"AL","ALABAMA","0101800","Huntsville City","02379","Ronald McNair 78","010180002379","ID",0,0,10,0,0,0,1,0,0,4,2,0,0,0,17,0,11,2,4,0,0,0,1,1,9,0,0,0,0,0,4,0,2,0,0
"AL","ALABAMA","0101800","Huntsville City","02425","Sonnie Hereford Elementary School","010180002425","ID",0,0,10,0,0,0,0,0,0,2,1,0,0,0,13,0,10,1,2,0,0,0,3,6,1,0,0,0,0,0,2,1,0,0,0
"AL","ALABAMA","0101800","Huntsville City","01530","Mountain Gap Middle School","010180001530","ID",0,0,1,0,0,0,2,0,0,0,1,1,0,0,5,0,3,0,2,0,0,0,3,0,0,0,0,0,0,0,2,0,0,0,0
"AL","ALABAMA","0103030","Shelby County","01588","Elvin Hill Elementary School","010303001588","ID",0,0,0,0,0,0,0,0,0,0,1,0,0,2,3,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0
"AL","ALABAMA","0101020","Cullman County","00446","Vinemont Elementary School","010102000446","ID",0,0,0,0,1,0,0,0,0,0,0,0,0,1,2,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
"AL","ALABAMA","0101020","Cullman County","00414","Hanceville Elementary School","010102000414","ID",0,0,1,0,1,0,2,0,0,0,0,0,0,2,6,0,4,0,2,0,0,0,0,3,1,0,0,0,0,0,0,1,1,0,0
"AL","ALABAMA","0100006","Marshall County","00877","Douglas Elementary School","010000600877","ID",0,0,0,1,0,0,2,0,0,0,1,0,0,0,4,1,2,0,1,0,0,0,2,0,1,0,0,0,0,0,0,1,0,0,0
"AL","ALABAMA","0103030","Shelby County","01822","Chelsea Park Elementary School","010303001822","ID",0,0,1,0,0,0,3,0,0,0,0,0,0,1,5,0,4,0,1,0,0,0,1,2,1,0,0,0,0,0,0,1,0,0,0
"AL","ALABAMA","0103030","Shelby County","02199","Calera Intermediate School","010303002199","ID",0,0,1,1,0,0,2,0,0,0,0,0,0,0,4,1,3,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0
"AL","ALABAMA","0103030","Shelby County","01173","Columbiana Middle School","010303001173","ID",0,0,0,3,0,0,2,0,0,0,1,0,0,1,7,1,4,0,2,0,0,0,2,3,0,0,0,0,0,0,2,0,0,0,0
"AL","ALABAMA","0101800","Huntsville City","00620","Academy For Academics  Arts Elementary School","010180000620","ID",0,0,4,0,0,0,1,0,0,1,0,0,0,1,7,0,5,0,2,0,0,0,4,0,1,0,0,0,0,0,2,0,0,0,0
"AL","ALABAMA","0101800","Huntsville City","00622","Chapman Elementary School","010180000622","ID",0,0,1,0,0,0,1,0,0,1,0,0,0,1,4,0,2,0,2,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0
"AL","ALABAMA","0102350","Midfield City","00891","Midfield High School","010235000891","ID",0,0,3,0,0,0,0,0,0,3,0,0,0,0,6,0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,2,0,1,0,0
"AL","ALABAMA","0101730","Hartselle City","02356","Hartselle Intermediate School","010173002356","ID",0,0,0,0,0,0,1,0,0,0,0,0,0,2,3,0,1,0,2,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0
"AL","ALABAMA","0101730","Hartselle City","00598","Hartselle Junior High School","010173000598","ID",0,0,0,0,0,0,2,0,0,0,0,0,0,3,5,0,2,0,3,0,0,0,1,0,1,0,0,0,0,0,3,0,0,0,0
"AL","ALABAMA","0103240","Tallassee City","01238","Tallassee High School","010324001238","ID",0,0,2,0,0,0,1,0,0,3,0,0,0,3,9,0,3,0,6,0,0,0,2,1,0,0,0,0,0,0,5,0,1,0,0
"AL","ALABAMA","0100600","Chambers County","00259","Five Points Elementary School","010060000259","ID",0,0,0,0,0,0,1,0,0,0,0,0,0,1,2,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
"AL","ALABAMA","0101020","Cullman County","00381","Holly Pond High School","010102000381","ID",0,0,0,1,0,0,1,0,0,0,0,0,0,1,3,0,2,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0
"AL","ALABAMA","0103030","Shelby County","01188","Wilsonville Elementary School","010303001188","ID",0,0,0,0,0,0,1,0,0,0,0,0,0,1,2,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
"AL","ALABAMA","0103030","Shelby County","01442","Helena Intermediate School","010303001442","ID",0,0,0,0,1,0,3,0,0,0,0,0,0,1,5,0,4,0,1,0,0,0,1,3,0,0,0,0,0,0,0,1,0,0,0
"AL","ALABAMA","0101800","Huntsville City","00643","Ridgecrest Elementary School","010180000643","ID",0,0,2,2,0,0,1,0,0,0,2,0,0,1,8,2,3,1,2,0,0,0,2,1,2,0,0,0,0,0,1,1,1,0,0
"AL","ALABAMA","0101800","Huntsville City","01651","Columbia High School","010180001651","ID",0,0,6,1,3,0,3,0,0,7,2,1,0,1,24,1,12,1,10,0,0,0,6,1,6,0,0,0,0,0,5,1,5,0,0
"AL","ALABAMA","0102070","Lee County","00284","Beauregard Elementary School","010207000284","ID",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"AL","ALABAMA","0100420","Blount County","01427","Locust Fork Elementary","010042001427","ID",0,0,0,0,0,0,3,0,0,0,0,0,0,1,4,0,3,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0
"AL","ALABAMA","0100007","Hoover City","01741","Ira F Simmons Middle School","010000701741","ID",0,0,3,0,1,0,0,0,1,1,1,0,0,0,7,0,4,2,1,0,0,0,0,3,1,0,0,0,0,0,3,0,0,0,0
"AL","ALABAMA","0101800","Huntsville City","02484","Morris Middle School","010180002484","ID",0,1,8,7,0,0,0,0,0,4,1,0,0,1,22,2,14,1,5,0,0,0,8,0,8,0,0,0,0,0,1,0,5,0,0
"AL","ALABAMA","0100007","Hoover City","00251","Hoover High School","010000700251","ID",0,0,2,0,0,0,5,0,0,2,1,0,0,2,12,1,6,1,4,0,0,0,7,0,0,0,0,0,0,0,3,1,1,0,0
"AL","ALABAMA","0101800","Huntsville City","01531","Whitesburg Middle School","010180001531","ID",0,0,2,4,0,0,0,0,0,1,3,0,0,1,11,3,3,3,2,0,0,0,2,1,3,0,0,0,0,0,2,1,2,0,0
"AL","ALABAMA","0100007","Hoover City","02186","Brocks Gap Intermediate School","010000702186","ID",0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"AL","ALABAMA","0101800","Huntsville City","01796","Williams Elementary School","010180001796","ID",0,0,0,1,0,0,0,0,0,1,0,0,0,0,2,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
"AL","ALABAMA","0103030","Shelby County","01804","Oak Mountain Elementary School","010303001804","ID",0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
"AL","ALABAMA","0103580","Winston County","01359","Lynn High School","010358001359","ID",0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
"AL","ALABAMA","0101800","Huntsville City","00650","James Dawson Elementary","010180000650","ID",0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"AL","ALABAMA","0101020","Cullman County","00373","Parkside Elementary School","010102000373","ID",0,0,0,0,0,0,2,0,0,0,0,0,0,1,3,0,2,0,1,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0
"AL","ALABAMA","0101020","Cullman County","00379","Good Hope High School","010102000379","ID",0,0,0,0,0,0,1,0,0,0,0,0,0,3,4,0,1,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0
"AL","ALABAMA","0100006","Marshall County","00872","Asbury High School","010000600872","ID",0,0,0,4,0,0,6,0,0,0,2,0,0,1,13,2,8,2,1,0,0,0,4,0,6,0,0,0,0,0,2,1,0,0,0
"AL","ALABAMA","0100006","Marshall County","00883","Kate D Smith DAR High School","010000600883","ID",0,0,0,0,0,0,7,0,1,0,0,0,0,1,9,0,7,0,2,0,0,0,1,1,5,0,0,0,0,0,1,0,1,0,0
"AL","ALABAMA","0103030","Shelby County","01187","Vincent Middle High School","010303001187","ID",0,0,2,0,0,0,8,0,0,3,0,0,0,3,16,0,10,0,6,0,0,0,5,2,3,0,0,0,0,0,4,0,2,0,0
"AL","ALABAMA","0101170","Decatur City","00429","Decatur High School","010117000429","ID",0,0,2,0,0,0,0,0,0,2,0,0,0,0,4,0,2,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0
"AL","ALABAMA","0102350","Midfield City","00892","Rutledge School","010235000892","ID",0,0,6,0,0,0,0,0,0,0,0,0,0,0,6,0,6,0,0,0,0,0,4,0,2,0,0,0,0,0,0,0,0,0,0
"AL","ALABAMA","0100006","Marshall County","01812","Douglas Middle School","010000601812","ID",0,0,0,1,0,0,4,0,0,0,1,0,0,4,10,1,4,1,4,0,0,0,0,1,4,0,0,0,0,0,2,1,2,0,0
"AL","ALABAMA","0103580","Winston County","01464","Double Springs Middle School","010358001464","ID",0,0,0,0,0,0,2,0,0,0,0,0,0,1,3,0,2,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0
"AL","ALABAMA","0101320","Enterprise City","00478","Hillcrest Elementary School","010132000478","ID",0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
"AL","ALABAMA","0100007","Hoover City","00091","Trace Crossings Elementary School","010000700091","ID",0,0,0,0,0,0,1,0,0,2,0,0,0,0,3,0,1,0,2,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0
"AL","ALABAMA","0101170","Decatur City","00426","Austin High School","010117000426","ID",0,0,4,1,0,0,3,0,0,3,1,0,0,2,14,1,7,0,6,0,0,0,2,4,2,0,0,0,0,0,1,5,0,0,0
"AL","ALABAMA","0101320","Enterprise City","00475","Dauphin Junior High School","010132000475","ID",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"AL","ALABAMA","0103030","Shelby County","00324","Oak Mountain Intermediate School","010303000324","ID",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"AL","ALABAMA","0101020","Cullman County","02132","Holly Pond Middle","010102002132","ID",0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
"AL","ALABAMA","0100006","Marshall County","01585","Brindlee Mountain High School","010000601585","ID",0,0,0,1,0,0,3,0,0,0,0,0,0,3,7,0,4,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,3,0,0
"AL","ALABAMA","0102070","Lee County","00290","Loachapoka Elementary School","010207000290","ID",0,0,1,0,0,0,1,0,0,1,0,0,0,0,3,0,2,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0
"AL","ALABAMA","0100006","Marshall County","01685","Kate D Smith DAR Elementary School","010000601685","ID",0,0,0,0,0,0,3,0,0,0,0,0,0,2,5,0,3,0,2,0,0,0,0,0,3,0,0,0,0,0,0,1,1,0,0
"AL","ALABAMA","0100012","Boaz City","00123","Boaz Middle School","010001200123","ID",0,0,0,1,0,0,1,0,0,0,1,0,0,2,5,0,2,0,3,0,0,0,1,0,1,0,0,0,0,0,3,0,0,0,0
"AL","ALABAMA","0101800","Huntsville City","00632","Huntsville Junior High School","010180000632","ID",0,0,2,0,0,0,0,0,0,4,0,0,0,2,8,0,2,0,6,0,0,0,1,0,1,0,0,0,0,0,1,2,3,0,0
"AL","ALABAMA","0101800","Huntsville City","00636","Lee High School","010180000636","ID",1,0,6,2,0,0,0,0,0,4,0,0,0,1,14,2,7,0,5,0,0,0,4,0,5,0,0,0,0,0,2,2,1,0,0
"AL","ALABAMA","0101020","Cullman County","00385","Vinemont High School","010102000385","ID",0,0,0,0,0,0,0,0,0,0,1,2,0,2,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
