LEA_STATE,LEA_STATE_NAME,LEAID,LEA_NAME,SCHID,SCHOOL_NAME,NCESSCH,DISABILITY_CATEGORY,AM_M_7,AS_M_7,BL_M_7,HI_M_7,MU_M_7,PI_M_7,WH_M_7,AM_F_7,AS_F_7,BL_F_7,HI_F_7,MU_F_7,PI_F_7,WH_F_7,TOTAL_STUDENTS_REPORTED,LEP_M,NLEP_M,LEP_F,NLEP_F,CF_M,HH_M,PPPS_M,RC39_M,RC79TO40_M,RC80_M,RF_M,SS_M,CF_F,HH_F,PPPS_F,RC39_F,RC79TO40_F,RC80_F,RF_F,SS_F
"IA","IOWA","1930750","West Branch Comm School District","01774","West Branch High School","193075001774","MISSING",0,0,1,0,1,0,15,0,0,0,1,0,0,8,26,0,17,0,9,0,0,0,0,5,12,0,0,0,0,0,0,4,5,0,0
"IA","IOWA","1914700","Iowa City Comm School District","00901","Southeast Junior High School","191470000901","MISSING",0,0,19,14,6,0,20,0,0,10,12,3,0,11,95,13,46,8,28,0,0,0,6,8,45,0,0,0,0,0,0,5,31,0,0
"IA","IOWA","1915450","Johnston Comm School District","00478","Beaver Creek Elementary School","191545000478","MISSING",0,0,9,1,6,0,24,0,1,8,3,1,0,6,59,1,39,5,14,0,0,1,3,10,26,0,0,0,0,0,1,2,16,0,0
"IA","IOWA","1900028","Prairie Valley Comm School District","01382","Southeast Valley High School","190002801382","MISSING",0,0,2,1,1,0,13,0,0,0,1,0,0,8,26,0,17,0,9,0,0,0,1,2,13,1,0,0,0,0,1,2,6,0,0
"IA","IOWA","1914160","Hinton Comm School District","00845","Hinton Intermediate School","191416000845","MISSING",0,0,0,0,0,0,11,0,0,0,0,0,0,9,20,0,11,0,9,0,0,0,0,3,8,0,0,0,0,0,0,2,7,0,0
"IA","IOWA","1925410","Schleswig Comm School District","01452","Schleswig Elementary School","192541001452","MISSING",0,0,0,0,0,0,6,0,0,0,0,0,0,3,9,0,6,0,3,0,0,0,0,0,6,0,0,0,0,0,0,0,3,0,0
"IA","IOWA","1909480","Dubuque Comm School District","00607","Fulton Elementary School","190948000607","MISSING",0,0,16,0,7,1,24,0,0,6,1,3,1,7,66,1,47,1,17,0,0,0,1,8,39,0,0,0,0,0,0,2,16,0,0
"IA","IOWA","1900009","Colfax-Mingo Comm School District","00385","Colfax-Mingo Elementary School","190000900385","MISSING",0,0,0,1,1,0,22,0,0,0,2,1,0,10,37,0,24,1,12,0,0,0,1,4,19,0,0,0,0,0,0,1,12,0,0
"IA","IOWA","1914700","Iowa City Comm School District","00887","Helen Lemme Elementary School","191470000887","MISSING",0,0,3,5,0,0,15,0,0,2,1,3,0,8,37,3,20,2,12,0,0,1,2,0,20,0,0,0,0,0,1,2,11,0,0
"IA","IOWA","1928230","Underwood Comm School District","01892","Underwood Middle School","192823001892","MISSING",0,0,0,1,0,0,13,0,0,0,1,0,0,6,21,0,14,1,6,0,0,0,1,3,10,0,0,0,0,0,0,2,5,0,0
"IA","IOWA","1904830","Benton Comm School District","02230","Norway Elementary School","190483002230","MISSING",0,0,0,0,1,0,22,0,0,1,0,0,0,15,39,0,23,0,16,0,0,0,0,5,18,0,0,0,0,0,0,2,14,0,0
"IA","IOWA","1912510","Gilbert Comm School District","00759","Gilbert Elementary School","191251000759","MISSING",0,3,0,1,0,0,9,0,0,0,0,0,0,6,19,3,10,0,6,0,0,0,0,0,13,0,0,0,0,0,0,1,5,0,0
"IA","IOWA","1914700","Iowa City Comm School District","02241","Liberty High School","191470002241","MISSING",0,1,16,4,3,0,34,0,0,5,3,4,0,28,98,5,53,2,38,0,0,0,4,17,36,0,1,0,0,0,5,11,24,0,0
"IA","IOWA","1907920","Colo-NESCO Comm School District","02204","Colo-Nesco Elementary School","190792002204","MISSING",0,0,0,0,0,0,20,0,0,0,1,0,0,4,25,0,20,0,5,0,0,0,1,1,18,0,0,0,0,0,0,0,5,0,0
"IA","IOWA","1914700","Iowa City Comm School District","00304","Weber Elementary","191470000304","MISSING",0,0,17,3,2,0,8,0,1,4,0,1,0,5,41,8,22,4,7,0,0,0,0,5,25,0,0,0,0,0,0,2,9,0,0
"IA","IOWA","1925050","Ruthven-Ayrshire Comm School District","01967","Ruthven-Ayrshire High School","192505001967","MISSING",0,0,0,1,2,0,3,0,0,0,0,0,0,0,6,0,6,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0
"IA","IOWA","1927600","Sumner-Fredericksburg Comm School District","01609","Durant Elementary School","192760001609","MISSING",0,0,0,0,1,0,15,0,0,0,0,0,0,8,24,0,16,0,8,0,0,0,0,1,15,0,0,0,0,0,0,0,8,0,0
"IA","IOWA","1910110","East Buchanan Comm School District","00644","East Buchanan Middle School","191011000644","MISSING",0,0,1,0,0,0,11,0,0,0,0,0,0,3,15,0,12,0,3,0,0,0,0,4,7,0,1,0,0,0,0,1,2,0,0
"IA","IOWA","1914700","Iowa City Comm School District","02224","Alexander Elementary","191470002224","MISSING",0,2,17,0,2,0,5,0,0,7,1,0,0,8,42,8,18,2,14,0,0,1,0,7,18,0,0,0,0,0,1,0,15,0,0
"IA","IOWA","1904830","Benton Comm School District","01987","Benton Community Middle School","190483001987","MISSING",0,0,0,1,0,0,12,0,0,0,0,0,0,5,18,0,13,0,5,0,0,0,1,1,11,0,0,0,0,0,1,0,4,0,0
