LEA_STATE,LEA_STATE_NAME,LEAID,LEA_NAME,SCHID,SCHOOL_NAME,NCESSCH,DISABILITY_CATEGORY,AM_M_7,AS_M_7,BL_M_7,HI_M_7,MU_M_7,PI_M_7,WH_M_7,AM_F_7,AS_F_7,BL_F_7,HI_F_7,MU_F_7,PI_F_7,WH_F_7,TOTAL_STUDENTS_REPORTED,LEP_M,NLEP_M,LEP_F,NLEP_F,CF_M,HH_M,PPPS_M,RC39_M,RC79TO40_M,RC80_M,RF_M,SS_M,CF_F,HH_F,PPPS_F,RC39_F,RC79TO40_F,RC80_F,RF_F,SS_F
"MO","MISSOURI","2928410","SMITHVILLE R-II","01753","Smithville Maple Elementary","292841001753","DD",0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
"MO","MISSOURI","2929280","ST. LOUIS CITY","01975","MERAMEC ELEM.","292928001975","DD",0,0,3,0,0,0,0,0,0,0,0,0,0,1,4,0,3,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0
"MO","MISSOURI","2914340","HICKMAN MILLS C-1","00659","MILLENNIUM AT SANTE FE","291434000659","DD",0,0,1,1,1,0,0,0,0,2,0,0,0,0,5,1,2,0,2,0,0,0,0,0,3,0,0,0,0,0,0,0,2,0,0
"MO","MISSOURI","2929280","ST. LOUIS CITY","01590","STIX EARLY CHILDHOOD CTR.","292928001590","DD",0,0,7,0,0,0,0,0,0,2,0,0,0,0,9,0,7,0,2,0,0,0,4,0,3,0,0,0,0,0,0,0,2,0,0
"MO","MISSOURI","2929280","ST. LOUIS CITY","02829","WOERNER ELEM.","292928002829","DD",0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"MO","MISSOURI","2929340","STANBERRY R-II","02029","STANBERRY ELEM.","292934002029","DD",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"MO","MISSOURI","2929280","ST. LOUIS CITY","02170","HODGEN ELEM.","292928002170","DD",0,0,3,0,0,0,0,0,0,1,1,0,0,0,5,0,3,1,1,0,0,0,1,1,1,0,0,0,0,0,1,1,0,0,0
"MO","MISSOURI","2901000","COLUMBIA 93","00313","THOMAS BENTON ELEM.","290100000313","DD",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"MO","MISSOURI","2914340","HICKMAN MILLS C-1","00652","DOBBS ELEM.","291434000652","DD",0,1,4,0,0,0,1,0,0,2,0,0,0,0,8,1,5,0,2,0,0,0,0,0,6,0,0,0,0,0,0,0,2,0,0
"MO","MISSOURI","2901000","COLUMBIA 93","00298","BLUE RIDGE ELEM.","290100000298","DD",0,0,1,1,1,0,2,0,0,1,0,0,0,0,6,1,4,0,1,0,0,0,0,1,4,0,0,0,0,0,0,0,1,0,0
